StateWellNumber,Aquifer,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Ag_indicator,LU_Code1
625502,Dockum,35.561112,-101.927222,0.8,Loam,290,1,2,3,762,991,1219,0,33.5,0,25,30,35,0.5,0.75,1,4,9,14,0.140000001,0.170000002,0.189999998,0,39,0,28,34,40,12,17,22,0.32,0.32,0,0,0,7.400000095,7.599999905,7.800000191,476.1919861,14.31999969,0,52
641102,Dockum,35.3525,-101.9916667,0.6,Silty clay,165,5,9,12,305,534,762,0,22.10000038,0,40,50,60,0.100000001,0.550000012,1,0.01,0.209999993,0.419999987,0.100000001,0.129999995,0.150000006,0,37,0,38,49,60,20,30,40,0.24,0.24,0,1,2,7.900000095,8.199999809,8.399999619,479.4179993,14.39999962,0,21
641613,Dockum,35.295,-101.8816667,2.31,Loam,308,1,2,3,762,991,1219,0,33.5,0,25,30,35,0.5,0.75,1,4,9,14,0.140000001,0.170000002,0.189999998,0,39,0,28,34,40,12,17,22,0.32,0.32,0,0,0,7.400000095,7.599999905,7.800000191,488.9879761,14.37999916,0,21
642901,Dockum,35.2877778,-101.7513889,0.8,Clay loam,258,3,4,5,823,1044,1265,25,34.70000076,45,22,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,503.322998,14.21999931,1,82
650814,Dockum,35.146389,-101.814445,2.39,Clay loam,384,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,494.4079895,14.10999966,1,82
650902,Dockum,35.146111,-101.759167,2.74,Clay loam,427,0,0.5,1,823,1128,1433,25,34.70000076,45,22,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,500.6089783,14.17999935,1,82
651603,Dockum,35.205278,-101.650834,3.7,Clay loam,280,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,510.4049988,14.21000004,1,82
657717,Dockum,35.010834,-101.978333,1.955,Clay loam,510,0,0.5,2,670,1097,1433,30,41.20000076,65,22,29.60000038,35,0.300000012,0.460000008,1,4,9,14,0.090000004,0.119999997,0.140000001,35,38,43,32,39,45,14,20,22,0.28,0.28,0,1,2,7.900000095,8.199999809,8.399999619,478.4679871,14.42000008,0,21
658109,Dockum,35.113334,-101.868333,2.863333333,Fine sandy loam,435,1,2,3,853,1128,1402,55,68.30000305,75,10,17.20000076,20,0.5,0.800000012,1,14,28,42,0.100000001,0.140000001,0.159999996,38,44,48,22,29,33,6,11,14,0.2,0.2,0,0.100000001,2,7.400000095,8.100000381,8.399999619,487.3659973,14.11999989,0,71
658702,Dockum,35.027778,-101.845,3.35,Loam,278,0,2,3,792,1128,1615,32,44.70000076,52,15,24.60000038,26,1.5,3.299999952,3.5,4,9,14,0.100000001,0.129999995,0.159999996,19,29,39,27,38,39,8,12,12,0.17,0.37,0,0.699999988,2,7.400000095,8,8.399999619,484.7509766,14.36999989,0,52
