# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,
# retrieved: 2023-04-20 02:46:13 EDT       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08168710 Comal Spgs at New Braunfels, TX",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08168710,,,,
#            TS   parameter     statistic     Description,,,,
"#        136450       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,136450_00060_00003,136450_00060_00003_cd
USGS,8168710,12/19/1927,311,A
USGS,8168710,12/20/1927,311,A
USGS,8168710,12/21/1927,306,A
USGS,8168710,12/22/1927,302,A
USGS,8168710,12/23/1927,298,A
USGS,8168710,12/24/1927,294,A
USGS,8168710,12/25/1927,294,A
USGS,8168710,12/26/1927,294,A
USGS,8168710,12/27/1927,294,A
USGS,8168710,12/28/1927,294,A
USGS,8168710,12/29/1927,294,A
USGS,8168710,12/30/1927,294,A
USGS,8168710,12/31/1927,294,A
USGS,8168710,1/1/1928,301,A
USGS,8168710,1/2/1928,308,A
USGS,8168710,1/3/1928,301,A
USGS,8168710,1/4/1928,294,A
USGS,8168710,1/5/1928,295,A
USGS,8168710,1/6/1928,296,A
USGS,8168710,1/7/1928,297,A
USGS,8168710,1/8/1928,297,A
USGS,8168710,1/9/1928,297,A
USGS,8168710,1/10/1928,297,A
USGS,8168710,1/11/1928,294,A
USGS,8168710,1/12/1928,291,A
USGS,8168710,1/13/1928,289,A
USGS,8168710,1/14/1928,291,A
USGS,8168710,1/15/1928,295,A
USGS,8168710,1/16/1928,300,A
USGS,8168710,1/17/1928,302,A
USGS,8168710,1/18/1928,298,A
USGS,8168710,1/19/1928,294,A
USGS,8168710,1/20/1928,297,A
USGS,8168710,1/21/1928,297,A
